"Registration Number","Title","Participant(s)","EIF information","Registration Date","Subject terms","Agreement type","UNTS Volume Number","EIF Date","Registration Year","Registration Month","Registration Day","EIF Year","EIF Month","EIF Day","Place1","Date1","Date1_Year","Date1_Month","Date1_Day","Place2","Date2","Date2_Year","Date2_Month","Date2_Day","Place3","Date3","Place4","Date4","Date3_Year","Date3_Month","Date3_Day","Date4_Year","Date4_Month","Date4_Day"
"311","Agreement between the Government of Canada and the Government of the United Kingdom on the settlement of war claims","Canada*, United Kingdom of Great Britain and Northern Ireland","6 March 1946 by signature",1948-12-01,"War, Claims-Debts","Bilateral","20 (p.3)",1946-03-06,1948,12,1,1946,3,6,"Ottawa",1946-03-06,1946,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1214","Agreement for the Reciprocal Exemption from Income Tax in certain Cases of Profits accruing from the Business of Shipping, signed at London, May 20, 1926.","Netherlands, United Kingdom of Great Britain and Northern Ireland*","20 May 1926",1926-06-30,"Ships and shipping, Taxation, Transport","Bilateral","20 (p.309)",1926-05-20,1926,6,30,1926,5,20,"London",1926-05-20,1926,5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"319","Communiqué on the Moscow Conference of the three Foreign Ministers, signed at Moscow on 27 December 1945, and Report of the meeting of the Ministers of Foreign Affairs of the Union of Soviet Socialist Republics, the United States of America and the United Kingdom, dated 26 December 1945, together constituting an Agreement relating to the preparation of peace treaties and to certain other problems","Union of Soviet Socialist Republics, United Kingdom of Great Britain and Northern Ireland, United States of America*","27 December 1945 by signature",1948-12-10,"Peace","Multilateral","20 (p.259)",1945-12-27,1948,12,10,1945,12,27,"Moscow",1945-12-27,1945,12,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315","Economic Co-operation Agreement between the Governments of the United States of America and the Kingdom of the Netherlands","Netherlands, United States of America*","2 July 1948 by signature, in accordance with article XII",1948-12-09,"Economic matters, Cooperation","Bilateral","20 (p.91)",1948-07-02,1948,12,9,1948,7,2,"TheHague",1948-07-02,1948,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316","Economic Co-operation Agreement between the United States of America and Iceland","Iceland, United States of America*","3 July 1948 by signature, in accordance with article XII",1948-12-09,"Economic matters, Cooperation","Bilateral","20 (p.141)",1948-07-03,1948,12,9,1948,7,3,"Reykjavik",1948-07-03,1948,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314","Economic Co-operation Agreement between the United States of America and Italy","Italy, United States of America*","28 June 1948 by signature, in accordance with article XII",1948-12-09,"Economic matters, Cooperation","Bilateral","20 (p.43)",1948-06-28,1948,12,9,1948,6,28,"Rome",1948-06-28,1948,6,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317","Economic Co-operation Agreement between the United States of America and Norway","Norway, United States of America*","3 July 1948 by signature",1948-12-09,"Economic matters, Cooperation","Bilateral","20 (p.185)",1948-07-03,1948,12,9,1948,7,3,"Oslo",1948-07-03,1948,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313","Exchange of notes constituting an agreement between Belgium and the United Kingdom of Great Britain and Northern Ireland regarding compensation for war damage","Belgium*, United Kingdom of Great Britain and Northern Ireland","7 June 1948 by the exchange of the said notes",1948-12-07,"War, Claims-Debts","Bilateral","20 (p.33)",1948-06-07,1948,12,7,1948,6,7,"Brussels",1948-06-07,1948,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312","Financial Agreement between the Government of Canada and the Government of the United Kingdom, signed at Ottawa, on 6 March 1946, and Exchanges of Notes concerning the entry into force of the Agreement, Ottawa and London, 6 March 1946, and Ottawa, 30 May and 16 July 1946","Canada*, United Kingdom of Great Britain and Northern Ireland","30 May 1946",1948-12-01,"Finance","Bilateral","20 (p.13)",1946-05-30,1948,12,1,1946,5,30,"Ottawa",1946-07-16,1946,7,16,"Ottawa",1946-05-30,1946,5,30,"Ottawa",1946-03-06,"London",1946-03-06,1946,3,6,1946,3,6
"122","France-Belgian Agreement relating to navigation on Belgian and French inland waterways","Belgium*, France","30 March 1945 by signature, in accordance with article 9",1948-12-07,"Watercourses-Water resources, Navigation, Maritime matters","Bilateral","20 (p.297)",1945-03-30,1948,12,7,1945,3,30,"Paris",1945-03-30,1945,3,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1214","Agreement for the Reciprocal Exemption from Income Tax in certain Cases of Profits accruing from the Business of Shipping, signed at London, May 20, 1926.","Netherlands, United Kingdom of Great Britain and Northern Ireland*","20 May 1926",1926-06-30,"Ships and shipping, Taxation, Transport","Bilateral","20 (p.309)",1926-05-20,1926,6,30,1926,5,20,"London",1926-05-20,1926,5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311","Agreement between the Government of Canada and the Government of the United Kingdom on the settlement of war claims","Canada*, United Kingdom of Great Britain and Northern Ireland","6 March 1946 by signature",1948-12-01,"War, Claims-Debts","Bilateral","20 (p.3)",1946-03-06,1948,12,1,1946,3,6,"Ottawa",1946-03-06,1946,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
