"Registration Number","Title","Participant(s)","EIF information","Registration Date","Subject terms","Agreement type","UNTS Volume Number","EIF Date","Registration Year","Registration Month","Registration Day","EIF Year","EIF Month","EIF Day","Place1","Date1","Date1_Year","Date1_Month","Date1_Day","Place2","Date2","Date2_Year","Date2_Month","Date2_Day"
"149","Agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the Polish Provisional Government of National Unity for the settlement of outstanding financial questions","Poland, United Kingdom of Great Britain and Northern Ireland*","19 June 1947 by the exchange of the instruments of ratification, in accordance with article VII",1947-11-26,"Finance, Claims-Debts","Bilateral","11 (p.59)",1947-06-19,1947,11,26,1947,6,19,"London",1946-06-24,1946,6,24,NA,NA,NA,NA,NA
"69","Agreement between His Majesty's Government in the United Kingdom and the Provisional Government of the French Republic relating to certain rights in respect of industrial, literary and artistic property which have been affected by the war","France, United Kingdom of Great Britain and Northern Ireland*","29 August 1945 by signature",1947-12-04,"Property matters, Cultural matters, Copyright","Bilateral","11 (p.397)",1945-08-29,1947,12,4,1945,8,29,"London",1945-08-29,1945,8,29,NA,NA,NA,NA,NA
"155","Agreement between the Government of the United Kingdom and the Grand Ducal Government of Luxembourg relating to money and property situated in Luxembourg and the United Kingdom, which have been subjected to special measures in consequence of the enemy occupation of Luxembourg","Luxembourg, United Kingdom of Great Britain and Northern Ireland*","11 December 1946 by signature, in accordance with article 17",1947-11-26,"Property matters, Monetary matters, Claims-Debts","Bilateral","11 (p.167)",1946-12-11,1947,11,26,1946,12,11,"London",1946-12-11,1946,12,11,NA,NA,NA,NA,NA
"162","Agreement between the Government of the United Kingdom of Great Britain and the Royal Swedish Government relating to air services","Sweden, United Kingdom of Great Britain and Northern Ireland*","27 November 1946 by signature, in accordance with article 14",1947-12-04,"Transport, Aviation","Bilateral","11 (p.229)",1946-11-27,1947,12,4,1946,11,27,"London",1946-11-27,1946,11,27,NA,NA,NA,NA,NA
"171","Agreement between the Government of the United States of America and the Government of Iran relating to a military mission to Iran","Iran, United States of America*","6 October 1947 by signature, in accordance with article 2",1947-12-05,"Assistance, Military matters","Bilateral","11 (p.303)",1947-10-06,1947,12,5,1947,10,6,"Tehran",1947-10-06,1947,10,6,NA,NA,NA,NA,NA
"147","Agreement between the United Nations and the United States of America regarding the Headquarters of the United Nations","United Nations, United States of America","21 October 1947",1947-11-21,"United Nations (UN), Headquarters (organizations)","Bilateral","11 (p.11)",1947-10-21,1947,11,21,1947,10,21,"LakeSuccess",1947-06-26,1947,6,26,NA,NA,NA,NA,NA
"151","Agreement for the Establishment of a Provisional Maritime Consultative Council, adopted by the United Maritime Consultative Council","Australia, Belgium, Canada, Chile, Denmark, France, Greece, Netherlands, Norway, Poland, United Kingdom of Great Britain and Northern Ireland, United States of America","23 April 1947 , in accordance with article V",1947-11-26,"Maritime matters, Navigation","Multilateral","11 (p.107)",1947-04-23,1947,11,26,1947,4,23,"Washington",1946-10-30,1946,10,30,NA,NA,NA,NA,NA
"167","Agreement supplementary to the Monetary Agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the Royal Netherlands Government dated 7 September 1945","Netherlands, United Kingdom of Great Britain and Northern Ireland*","27 February 1947 , in accordance with article 4",1947-12-04,"Monetary matters","Bilateral","11 (p.279)",1947-02-27,1947,12,4,1947,2,27,"London",1947-02-26,1947,2,26,NA,NA,NA,NA,NA
"152","Air transport agreement between the Government of the United Kingdom and the Government of the United States of Brazil","Brazil, United Kingdom of Great Britain and Northern Ireland*","30 November 1946 by signature, in accordance with article XIV",1947-11-26,"Transport, Aviation","Bilateral","11 (p.115)",1946-11-30,1947,11,26,1946,11,30,"RiodeJaneiro",1946-10-31,1946,10,31,NA,NA,NA,NA,NA
"297","Convention relating to the regulation of Aerial Navigation (with additional Protocol), signed at Paris, October 13, 1919","Netherlands","29 March 1922",1922-07-24,"Navigation","Multilateral","11 (p.173)",1922-03-29,1922,7,24,1922,3,29,"Paris",1919-10-13,1919,10,13,NA,NA,NA,NA,NA
"161","Exchange of notes constituting an agreement between the Government of the United Kingdom and the Government of Iceland regarding the reciprocal abolition of visas","Iceland, United Kingdom of Great Britain and Northern Ireland*","1 July 1947 , in accordance with the provisions of the said notes",1947-11-26,"Passports","Bilateral","11 (p.223)",1947-07-01,1947,11,26,1947,7,1,"London",1947-06-20,1947,6,20,NA,NA,NA,NA,NA
"168","Exchange of notes constituting an agreement between the Government of the United Kingdom and the Government of Denmark concerning the reciprocal abolition of visas","Denmark, United Kingdom of Great Britain and Northern Ireland*","22 March 1947 , in accordance with the provisions of the said notes",1947-12-04,"Passports","Bilateral","11 (p.285)",1947-03-22,1947,12,4,1947,3,22,"London",1947-03-20,1947,3,20,NA,NA,NA,NA,NA
"166","Exchange of notes constituting an agreement between His Majesty's Government of the United Kingdom and the Government of Norway concerning the mutual abolition of visas","Norway, United Kingdom of Great Britain and Northern Ireland*","1 March 1947 , in accordance with the provisions of the said notes",1947-12-04,"Passports","Bilateral","11 (p.273)",1947-03-01,1947,12,4,1947,3,1,"London",1947-02-26,1947,2,26,NA,NA,NA,NA,NA
"165","Exchange of notes constituting an agreement between His Majesty's Government in the United Kingdom and the Government of Luxembourg for the reciprocal abolition of visas on British and Luxembourg passports","Luxembourg, United Kingdom of Great Britain and Northern Ireland*","15 February 1947 , in accordance with the provisions of the said notes",1947-12-04,"Passports","Bilateral","11 (p.267)",1947-02-15,1947,12,4,1947,2,15,"London",1947-02-14,1947,2,14,NA,NA,NA,NA,NA
"146","Exchange of notes between the Kingdom of Egypt and the Hashemite Kingdom of Transjordan constituting a Provisional Commercial Agreement","Egypt*, Transjordan","21 April 1947 by the exchange of the said notes",1947-11-25,"Trade","Bilateral","11 (p.3)",1947-04-21,1947,11,25,1947,4,21,"Amman",1947-04-21,1947,4,21,NA,NA,NA,NA,NA
"159","Exchange of notes between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the United States of America regarding the use of Gander Airport by United States airlines","United Kingdom of Great Britain and Northern Ireland*, United States of America","23 May 1947 by the exchange of the said notes",1947-11-26,"Transport, Aviation","Bilateral","11 (p.211)",1947-05-23,1947,11,26,1947,5,23,"London",1947-05-23,1947,5,23,"London",1947-05-21,1947,5,21
"153","Exchange of notes between the Government of the United Kingdom and the Government of Syria concerning the settlement of pending cases before the Syrian Mixed Courts","Syria, United Kingdom of Great Britain and Northern Ireland*","2 November 1946 by the exchange of the said notes",1947-11-26,"Judicial matters","Bilateral","11 (p.153)",1946-11-02,1947,11,26,1946,11,2,"Damascus",1946-11-02,1946,11,2,"Damascus",1946-11-01,1946,11,1
"156","Exchange of notes between the Government of the United Kingdom and the Government of Norway constituting an agreement concerning the transmission by post of diplomatic correspondence","Norway, United Kingdom of Great Britain and Northern Ireland*","15 January 1947 by the exchange of the said notes",1947-11-26,"Postal services, Diplomatic and consular relations","Bilateral","11 (p.187)",1947-01-15,1947,11,26,1947,1,15,"Oslo",1947-01-15,1947,1,15,"Oslo",1946-12-23,1946,12,23
"154","Exchange of notes between the Government of the United Kingdom and the Government of Cuba concerning reciprocal notification of the imprisonment or death in prison of British and Cuban nationals","Cuba, United Kingdom of Great Britain and Northern Ireland*","2 December 1946 by the exchange of the said notes",1947-11-26,"Judicial matters","Bilateral","11 (p.161)",1946-12-02,1947,11,26,1946,12,2,"Havana",1946-12-02,1946,12,2,"Havana",1946-10-18,1946,10,18
"157","Exchange of notes between the Government of the United Kingdom and the Argentine Government prolonging the Commercial Agreement of 1 December 1936","Argentina, United Kingdom of Great Britain and Northern Ireland*","1 January 1947 by the exchange of the said notes",1947-11-26,"Trade","Bilateral","11 (p.195)",1947-01-01,1947,11,26,1947,1,1,"BuenosAires",1947-03-19,1947,3,19,"BuenosAires",1947-03-13,1947,3,13
"164","Exchange of notes between His Majesty's Government in the United Kingdom and the Belgian Government for the reciprocal abolition of visas on British and Belgian passports","Belgium, United Kingdom of Great Britain and Northern Ireland*","15 February 1947 , in accordance with the provisions of the said notes",1947-12-04,"Passports","Bilateral","11 (p.261)",1947-02-15,1947,12,4,1947,2,15,"London",1947-02-05,1947,2,5,NA,NA,NA,NA,NA
"163","Exchange of notes between His Majesty's Government in the United Kingdom and the Government of the French Republic concerning the mutual abolition of visas","France, United Kingdom of Great Britain and Northern Ireland*","1 January 1947 , in accordance with the provisions of the said notes",1947-12-04,"Passports","Bilateral","11 (p.255)",1947-01-01,1947,12,4,1947,1,1,"London",1946-12-27,1946,12,27,"London",1946-12-24,1946,12,24
"173","Exchange of notes between Canada and the United States of America relating to the disposal of surplus property owned by either of the tow countries","Canada*, United States of America","9 January 1947 by the exchange of the said notes",1947-12-15,"Property matters","Bilateral","11 (p.341)",1947-01-09,1947,12,15,1947,1,9,"Ottawa",1947-01-09,1947,1,9,NA,NA,NA,NA,NA
"297","Convention relating to the regulation of Aerial Navigation (with additional Protocol), signed at Paris, October 13, 1919","Netherlands","29 March 1922",1922-07-24,"Navigation","Multilateral","11 (p.173)",1922-03-29,1922,7,24,1922,3,29,"Paris",1919-10-13,1919,10,13,NA,NA,NA,NA,NA
"152","Air transport agreement between the Government of the United Kingdom and the Government of the United States of Brazil","Brazil, United Kingdom of Great Britain and Northern Ireland*","30 November 1946 by signature, in accordance with article XIV",1947-11-26,"Transport, Aviation","Bilateral","11 (p.115)",1946-11-30,1947,11,26,1946,11,30,"RiodeJaneiro",1946-10-31,1946,10,31,NA,NA,NA,NA,NA
"167","Agreement supplementary to the Monetary Agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the Royal Netherlands Government dated 7 September 1945","Netherlands, United Kingdom of Great Britain and Northern Ireland*","27 February 1947 , in accordance with article 4",1947-12-04,"Monetary matters","Bilateral","11 (p.279)",1947-02-27,1947,12,4,1947,2,27,"London",1947-02-26,1947,2,26,NA,NA,NA,NA,NA
"151","Agreement for the Establishment of a Provisional Maritime Consultative Council, adopted by the United Maritime Consultative Council","Australia, Belgium, Canada, Chile, Denmark, France, Greece, Netherlands, Norway, Poland, United Kingdom of Great Britain and Northern Ireland, United States of America","23 April 1947 , in accordance with article V",1947-11-26,"Maritime matters, Navigation","Multilateral","11 (p.107)",1947-04-23,1947,11,26,1947,4,23,"Washington",1946-10-30,1946,10,30,NA,NA,NA,NA,NA
"147","Agreement between the United Nations and the United States of America regarding the Headquarters of the United Nations","United Nations, United States of America","21 October 1947",1947-11-21,"United Nations (UN), Headquarters (organizations)","Bilateral","11 (p.11)",1947-10-21,1947,11,21,1947,10,21,"LakeSuccess",1947-06-26,1947,6,26,NA,NA,NA,NA,NA
"171","Agreement between the Government of the United States of America and the Government of Iran relating to a military mission to Iran","Iran, United States of America*","6 October 1947 by signature, in accordance with article 2",1947-12-05,"Assistance, Military matters","Bilateral","11 (p.303)",1947-10-06,1947,12,5,1947,10,6,"Tehran",1947-10-06,1947,10,6,NA,NA,NA,NA,NA
"162","Agreement between the Government of the United Kingdom of Great Britain and the Royal Swedish Government relating to air services","Sweden, United Kingdom of Great Britain and Northern Ireland*","27 November 1946 by signature, in accordance with article 14",1947-12-04,"Transport, Aviation","Bilateral","11 (p.229)",1946-11-27,1947,12,4,1946,11,27,"London",1946-11-27,1946,11,27,NA,NA,NA,NA,NA
"155","Agreement between the Government of the United Kingdom and the Grand Ducal Government of Luxembourg relating to money and property situated in Luxembourg and the United Kingdom, which have been subjected to special measures in consequence of the enemy occupation of Luxembourg","Luxembourg, United Kingdom of Great Britain and Northern Ireland*","11 December 1946 by signature, in accordance with article 17",1947-11-26,"Property matters, Monetary matters, Claims-Debts","Bilateral","11 (p.167)",1946-12-11,1947,11,26,1946,12,11,"London",1946-12-11,1946,12,11,NA,NA,NA,NA,NA
"69","Agreement between His Majesty's Government in the United Kingdom and the Provisional Government of the French Republic relating to certain rights in respect of industrial, literary and artistic property which have been affected by the war","France, United Kingdom of Great Britain and Northern Ireland*","29 August 1945 by signature",1947-12-04,"Property matters, Cultural matters, Copyright","Bilateral","11 (p.397)",1945-08-29,1947,12,4,1945,8,29,"London",1945-08-29,1945,8,29,NA,NA,NA,NA,NA
"149","Agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the Polish Provisional Government of National Unity for the settlement of outstanding financial questions","Poland, United Kingdom of Great Britain and Northern Ireland*","19 June 1947 by the exchange of the instruments of ratification, in accordance with article VII",1947-11-26,"Finance, Claims-Debts","Bilateral","11 (p.59)",1947-06-19,1947,11,26,1947,6,19,"London",1946-06-24,1946,6,24,NA,NA,NA,NA,NA
