"Registration Number","Title","Participant(s)","EIF information","Registration Date","Subject terms","Agreement type","UNTS Volume Number","EIF Date","Registration Year","Registration Month","Registration Day","EIF Year","EIF Month","EIF Day","Place1","Date1","Date1_Year","Date1_Month","Date1_Day","Place2","Date2","Date2_Year","Date2_Month","Date2_Day"
"721","Agreement between Belgium and the United States of America concerning the status and admission into Belgium of displaced persons at present in the American zone of Germany","Belgium*, United States of America","10 March 1947 by notification",1950-02-17,"Geographical names, Tourism, Finance","Bilateral","47 (p.23)",1947-03-10,1950,2,17,1947,3,10,"Brussels",1947-01-23,1947,1,23,NA,NA,NA,NA,NA
"729","Agreement between the Secretary-General of the United Nations and the Government of Canada relating to the 1948 campaign for the United Nations Appeal for Children","Canada, United Nations","with retroactive effect from 20 December 1947 , in accordance with article VI",1950-03-01,"United Nations (UN), Assistance, Children-Minors-Youth","Bilateral","47 (p.167)",1947-12-20,1950,3,1,1947,12,20,"LakeSuccess",1948-08-27,1948,8,27,NA,NA,NA,NA,NA
"189","Agreement between the Secretary-General of the United Nations and the Government of Finland relating to the 1948 campaign for the United Nations Appeal for Children","Finland, United Nations","with retroactive effect from 1 February 1948 , in accordance with article VI",1950-03-01,"United Nations (UN), Assistance, Telecommunications, Children-Minors-Youth, Roads, Transport","Bilateral","47 (p.319)",1948-02-01,1950,3,1,1948,2,1,"LakeSuccess",1948-05-20,1948,5,20,"Helsinki",1948-03-30,1948,3,30
"732","Agreement between the Secretary-General of the United Nations and the Government of Greece relating to the 1948 campaign for the United Nations Appeal for Children","Greece, United Nations","12 February 1948 , in accordance with article VI",1950-03-01,"Children-Minors-Youth","Bilateral","47 (p.223)",1948-02-12,1950,3,1,1948,2,12,"Athens",1948-02-12,1948,2,12,NA,NA,NA,NA,NA
"733","Agreement between the Secretary-General of the United Nations and the Government of Iceland relating to the 1948 campaign for the United Nations Appeal for Children","Iceland, United Nations","with retroactive effect from 1 February 1948 , in accordance with article VI",1950-03-01,"Children-Minors-Youth","Bilateral","47 (p.251)",1948-02-01,1950,3,1,1948,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"734","Agreement between the Secretary-General of the United Nations and the Government of Pakistan relating to the 1948 campaign for the United Nations Appeal for Children","Pakistan, United Nations","with retroactive effect from 29 February 1948 , in accordance with article VI",1950-03-01,"Children-Minors-Youth","Bilateral","47 (p.269)",1948-02-29,1950,3,1,1948,2,29,"NewYork",1948-10-07,1948,10,7,"Karachi",1948-08-27,1948,8,27
"190","Agreement between the Secretary-General of the United Nations and the Government of San Marino relating to the 1948 campaign for the United Nations Appeal for Children","San Marino, United Nations","with retroactive effect from 10 June 1948 , in accordance with article VI",1950-03-01,"United Nations (UN), Assistance, Children-Minors-Youth, Transport","Bilateral","47 (p.337)",1948-06-10,1950,3,1,1948,6,10,"LakeSuccess",1948-10-07,1948,10,7,NA,NA,NA,NA,NA
"735","Agreement between the Secretary-General of the United Nations and the Government of Siam relating to the 1948 campaign for the United Nations Appeal for Children","Siam, United Nations","5 October 1948 , in accordance with article VI",1950-03-01,"Children-Minors-Youth","Bilateral","47 (p.287)",1948-10-05,1950,3,1,1948,10,5,"NewYork",1948-11-29,1948,11,29,"Bangkok",1948-10-05,1948,10,5
"730","Agreement between the Secretary-General of the United Nations and the Government of the Czechoslovak Republic relating to the 1948 campaign for the United Nations Appeal for Children","Czechoslovakia, United Nations","with retroactive effect from 19 January 1948 , in accordance with article VI",1950-03-01,"Children-Minors-Youth","Bilateral","47 (p.185)",1948-01-19,1950,3,1,1948,1,19,"NewYork",1948-10-07,1948,10,7,NA,NA,NA,NA,NA
"731","Agreement between the Secretary-General of the United Nations and the Government of the French Republic relating to the 1948 campaign for the United Nations Appeal for Children","France, United Nations","with retroactive effect from 10 December 1947 , in accordance with article VI",1950-03-01,"Children-Minors-Youth","Bilateral","47 (p.203)",1947-12-10,1950,3,1,1947,12,10,"Paris",1948-03-10,1948,3,10,NA,NA,NA,NA,NA
