"Registration Number","Title","Participant(s)","EIF information","Registration Date","Subject terms","Agreement type","UNTS Volume Number","EIF Date","Registration Year","Registration Month","Registration Day","EIF Year","EIF Month","EIF Day","Place1","Date1","Date1_Year","Date1_Month","Date1_Day"
"499","Agreement between Canada and the Netherlands for air services between the two countries (with annex and exchange of notes)","Canada, Netherlands*","2 June 1948 by signature, in accordance with article XII",1949-07-07,"Transport, Aviation","Bilateral","32 (p.215)",1948-06-02,1949,7,7,1948,6,2,"Ottawa",1948-06-02,1948,6,2
"507","Agreement between the Government of the United States of America and the Royal Norwegian Government for the use of funds made available in accordance with the Letter Credit Agreement dated 18 June 1946, accepted by the Royal Norwegian Government on 29 July 1946","Norway*, United States of America","25 May 1949 by signature, in accordance with article 16",1949-07-29,"Credits","Bilateral","32 (p.345)",1949-05-25,1949,7,29,1949,5,25,"Oslo",1949-05-25,1949,5,25
"494","Agreement between the Royal Government of the Nethrlands and the Royal Greek Government concerning air transport between their respective territories","Greece, Netherlands*","22 December 1948 , in accordance with article 13",1949-07-07,"Transport, Aviation","Bilateral","32 (p.115)",1948-12-22,1949,7,7,1948,12,22,"Athens",1947-04-17,1947,4,17
"178","Agreement between the World Health Organization and the Pan American Sanitary Organization concerning the integration of the Pan American Sanitary Organization with the World Health Organization","Pan American Sanitary Organization, World Health Organization*","1 July 1949 , in accordance with article 10",1949-07-23,"Health and health services, Cooperation, Assistance","Bilateral","32 (p.387)",1949-07-01,1949,7,23,1949,7,1,"Washington",1949-05-24,1949,5,24
"820","Agreement for the Reciprocal Exemption from Income Tax in certain Cases of Profits accruing from the Business of Shipping, signed at London on 19 December 1924","Great Britain*, Sweden","19 December 1924",NA,"Ships and shipping, Taxation, Transport","Bilateral","32 (p.291)",1924-12-19,NA,NA,NA,1924,12,19,"London",1924-12-19,1924,12,19
"801","Agreement for the Reciprocal Exemption from Income-Tax in certain Cases of Profits accruing from the Business of Shipping","Norway*, United Kingdom of Great Britain and Northern Ireland","18 December 1924",NA,"Ships and shipping, Taxation, Transport","Bilateral","32 (p.9)",1924-12-18,NA,NA,NA,1924,12,18,"London",1924-12-18,1924,12,18
"495","Agreement on the air services between the Kingdom of the Netherlands and the Czechoslovak Republic","Czechoslovakia, Netherlands*","5 August 1948 , in accordance with article 10",1949-07-07,"Transport","Bilateral","32 (p.129)",1948-08-05,1949,7,7,1948,8,5,"Prague",1947-09-01,1947,9,1
"504","Air Transport Agreement between the Government of the Turkish Republic and the Danish Government","Denmark, Turkey*","1 March 1948 , in accordance with article 11",1949-07-13,"Transport, Aviation","Bilateral","32 (p.301)",1948-03-01,1949,7,13,1948,3,1,"Ankara",1947-06-30,1947,6,30
"505","Air Transport Agreement between the Government of the Turkish Republic and the Government of the Hashemite Kingdom of Jordan","Jordan, Turkey*","23 February 1949 by the exchange of the instruments of ratification, in accordance with article 12",1949-07-13,"Transport, Aviation","Bilateral","32 (p.313)",1949-02-23,1949,7,13,1949,2,23,"Ankara",1948-05-07,1948,5,7
"498","Convention between the Kingdom of the Netherlands and the United States of America with respect to taxes on income and certain other taxes","Netherlands*, United States of America","1 December 1948 by the exchange of the instruments of ratification and with retroactive effect from 1 January 1947 , in accordance with article XXVIII(2)",1949-07-07,"Taxation","Bilateral","32 (p.167)",1948-12-01,1949,7,7,1948,12,1,"Washington",1948-04-29,1948,4,29
