"Registration Number","Title","Participant(s)","EIF information","Registration Date","Subject terms","Agreement type","UNTS Volume Number","EIF Date","Registration Year","Registration Month","Registration Day","EIF Year","EIF Month","EIF Day","Place1","Date1","Date1_Year","Date1_Month","Date1_Day"
"588","Convention (No. 5) fixing the minimum age for admission of children to industrial employment, as modified by the Final Articles Revision Convention, 1946","Albania, Albania, Argentina, Argentina, Austria, Austria, Bahamas, Bahamas, Barbados, Barbados, Belgium, Belgium, Belize, Belize, Benin, Bolivia, Bolivia, Brazil, Brazil, Bulgaria, Bulgaria, Burkina Faso, Cameroon, Cameroon, Central African Republic, Central African Republic, Ceylon, Chad, Chad, Chile, Chile, Colombia, Colombia, Comoros, Comoros, Congo, Congo (Brazzaville), Côte d'Ivoire, Cuba, Czech Republic, Czech Republic, Czechoslovakia, Dahomey, Denmark, Denmark, Denmark, Djibouti, Djibouti, Dominican Republic, Dominican Republic, Estonia, Estonia, Federal Republic of Cameroon, Federal Republic of Cameroon, Fiji, Fiji, France, France, France, Gabon, Gabon, Greece, Greece, Grenada, Grenada, Guinea, Guinea, Guyana, Guyana, Haiti, India, Ireland, Israel, Ivory Coast, Japan, Japan, Kenya, Latvia, Latvia, Lesotho, Luxembourg, Madagascar, Madagascar, Malaysia, Mali, Mali, Malta, Malta, Mauritania, Mauritania, Mauritius, Mauritius, Netherlands, Nicaragua, Nicaragua, Niger, Norway, Norway, Poland, Romania, Senegal, Senegal, Seychelles, Seychelles, Sierra Leone, Sierra Leone, Singapore, Singapore, Singapore, Slovakia, Slovakia, Spain, Sri Lanka, St. Lucia, St. Vincent and the Grenadines, St. Vincent and the Grenadines, Swaziland, Swaziland, Switzerland, Switzerland, Togo, Uganda, Uganda, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Republic of Tanganyika and Zanzibar, United Republic of Tanzania, Upper Volta, Uruguay, Uruguay, Venezuela, Venezuela, Viet Nam, Viet Nam, Viet Nam, Yugoslavia (Socialist Federal Republic of), Yugoslavia (Socialist Federal Republic of), Zambia","13 June 1921 , in accordance with article 10",1949-09-15,"Industry, Labour, Children-Minors-Youth","Multilateral","38 (p.81)",1921-06-13,1949,9,15,1921,6,13,"Washington",1919-11-28,1919,11,28
"593","Convention (No. 10) concerning the age for admission of children to employment in agriculture, as modified by the Final Articles Revision Convention, 1946","Albania, Albania, Algeria, Algeria, Argentina, Argentina, Australia, Australia, Australia, Australia, Austria, Austria, Bahamas, Bahamas, Barbados, Barbados, Belgium, Belgium, Belize, Belize, Bulgaria, Bulgaria, Byelorussian Soviet Socialist Republic, Central African Republic, Central African Republic, Chile, Chile, Colombia, Colombia, Comoros, Comoros, Cuba, Czech Republic, Czech Republic, Czechoslovakia, Djibouti, Djibouti, Dominican Republic, Dominican Republic, Estonia, Estonia, Federal Republic of Cameroon, Federal Republic of Germany, France, France, France, France, France, France, Gabon, Gabon, Grenada, Grenada, Guatemala, Guatemala, Guinea, Guinea, Guyana, Guyana, Hungary, Hungary, Ireland, Israel, Italy, Italy, Italy, Japan, Japan, Luxembourg, Malta, Malta, Netherlands, Netherlands, Netherlands, Netherlands, New Zealand, Nicaragua, Nicaragua, Norway, Norway, Panama, Panama, Papua New Guinea, Papua New Guinea, Peru, Peru, Poland, Romania, Senegal, Seychelles, Seychelles, Slovakia, Slovakia, Spain, Sri Lanka, Sri Lanka, St. Vincent and the Grenadines, St. Vincent and the Grenadines, Sweden, Sweden, Ukrainian Soviet Socialist Republic, Union of Soviet Socialist Republics, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, Uruguay","31 August 1923 , in accordance with article 5",1949-09-15,"Labour, Children-Minors-Youth, Agriculture","Multilateral","38 (p.143)",1923-08-31,1949,9,15,1923,8,31,"Geneva",1921-11-16,1921,11,16
"590","Convention (No. 7) fixing the minimum age for admission of children to employment at sea, as modified by the Final Articles Revision Convention, 1946","Angola, Angola, Argentina, Argentina, Australia, Australia, Australia, Bahamas, Bahamas, Barbados, Barbados, Belgium, Belgium, Belize, Belize, Bilateral, Brazil, Brazil, Bulgaria, Bulgaria, Canada, Ceylon, Chile, Chile, China, China, Colombia, Colombia, Colony of South Rhodesia, Cuba, Denmark, Denmark, Denmark, Dominican Republic, Dominican Republic, Estonia, Estonia, Finland, Germany, Greece, Greece, Grenada, Grenada, Guinea-Bissau, Guyana, Guyana, Hungary, Hungary, Ireland, Italy, Italy, Italy, Italy, Jamaica, Jamaica, Japan, Japan, Latvia, Latvia, Luxembourg, Malaysia, Malaysia, Malta, Malta, Mauritius, Mauritius, Mexico, Mexico, Netherlands, Netherlands, Nicaragua, Nicaragua, Norway, Norway, Nyasaland, Papua New Guinea, Papua New Guinea, Poland, Portugal, Portugal, Romania, Seychelles, Seychelles, Sierra Leone, Sierra Leone, Singapore, Singapore, Singapore, Spain, Sri Lanka, St. Lucia, St. Vincent and the Grenadines, St. Vincent and the Grenadines, Sweden, Sweden, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Republic of Tanganyika and Zanzibar, United Republic of Tanzania, Uruguay, Uruguay, Venezuela, Venezuela, Yugoslavia (Socialist Federal Republic of), Yugoslavia (Socialist Federal Republic of)","27 September 1921",1949-09-15,"Maritime matters, Labour, Children-Minors-Youth, Sea","Multilateral","38 (p.110)",1921-09-27,1949,9,15,1921,9,27,"Genoa",1920-07-09,1920,7,9
"589","Convention (No. 6) concerning the night work of young persons employed in industry, as modified by the Final Articles Revision Convention, 1946","Albania, Algeria, Angola, Argentina, Austria, Bangladesh, Belgium, Brazil, Bulgaria, Cambodia, Cameroon, Central African Republic, Ceylon, Ceylon, Chad, Chile, China, Colombia, Comoros, Congo (Brazzaville), Cuba, Dahomey, Denmark, Denmark, Djibouti, Djibouti, Estonia, Federal Republic of Cameroon, France, Gabon, Greece, Guinea, Guinea, Guinea-Bissau, Hungary, India, Ireland, Italy, Italy, Ivory Coast, Laos, Latvia, Lithuania, Luxembourg, Madagascar, Mali, Mali, Mauritania, Mexico, Mexico, Netherlands, Netherlands, Nicaragua, Niger, Poland, Portugal, Portugal, Romania, Senegal, Spain, Switzerland, Togo, Tunisia, Tunisia, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Republic of Cameroon, Upper Volta, Uruguay, Uruguay, Venezuela, Viet Nam, Viet Nam, Yugoslavia (Socialist Federal Republic of), Yugoslavia (Socialist Federal Republic of)","13 June 1921 , in accordance with article 11",1949-09-15,"Industry, Labour, Children-Minors-Youth","Multilateral","38 (p.93)",1921-06-13,1949,9,15,1921,6,13,"Washington",1919-11-28,1919,11,28
"587","Convention (No. 4) concerning the employment of women during the night, as modified by the Final Articles Revision Convention, 1946","Afghanistan, Albania, Albania, Angola, Argentina, Argentina, Austria, Austria, Bangladesh, Belgium, Brazil, Bulgaria, Bulgaria, Burma, Burundi, Cambodia, Cameroon, Central African Republic, Ceylon, Ceylon, Chad, Chile, Chile, Colombia, Congo (Brazzaville), Congo (Leopoldville), Congo People's Republic, Cuba, Czechoslovakia, Czechoslovakia, Dahomey, Estonia, Federal Republic of Cameroon, France, France, France, Gabon, Greece, Guinea, Guinea, Guinea-Bissau, Hungary, India, Ireland, Italy, Italy, Italy, Ivory Coast, Lao People's Democratic Republic, Laos, Lithuania, Lithuania, Luxembourg, Luxembourg, Madagascar, Mali, Mali, Malta, Malta, Martinique, Mauritania, Mauritania, Morocco, Netherlands, Nicaragua, Nicaragua, Niger, Peru, Peru, Portugal, Portugal, Republic of Viet-Nam, Romania, Romania, Rwanda, Senegal, Spain, Switzerland, Togo, Tunisia, Tunisia, Union of South Africa, United Kingdom of Great Britain and Northern Ireland, United Republic of Cameroon, Upper Volta, Uruguay, Uruguay, Venezuela, Viet Nam, Yugoslavia (Socialist Federal Republic of), Yugoslavia (Socialist Federal Republic of)","13 June 1921 , in accordance with article 11",1949-09-15,"Women, Labour","Multilateral","38 (p.67)",1921-06-13,1949,9,15,1921,6,13,"Washington",1919-11-28,1919,11,28
"586","Convention (No. 3) concerning the employment of women before and after childbirth, as modified by the Final Articles Revision Convention, 1946","Algeria, Argentina, Australia, Australia, Bosnia and Herzegovina, Bosnia and Herzegovina, Brazil, Brazil, Bulgaria, Central African Republic, Chile, Chile, Colombia, Croatia, Cuba, Federal Republic of Cameroon, France, France, France, France, France, Gabon, Germany, Greece, Guinea, Guyana, Hungary, Italy, Italy, Ivory Coast, Ivory Coast, Latvia, Libyan Arab Republic, Luxembourg, Martinique, Mauritania, Montenegro, Montenegro, Nicaragua, Panama, Romania, Serbia, Slovenia, Slovenia, Spain, The former Yugoslav Republic of Macedonia, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, Upper Volta, Uruguay, Uruguay, Venezuela, Yugoslavia (Federal Republic of), Yugoslavia (Socialist Federal Republic of)","13 June 1921 , in accordance with article 8",1949-09-15,"Family matters, Women, Labour, Health and health services","Multilateral","38 (p.53)",1921-06-13,1949,9,15,1921,6,13,"Washington",1919-11-28,1919,11,28
"585","Convention (No. 2) concerning unemployment, as modified by the Final Articles Revision Convention, 1946","Argentina, Australia, Australia, Australia, Austria, Belgium, Bermuda, Bosnia and Herzegovina, Bulgaria, Bulgaria, Central African Republic, Chile, Colombia, Cyprus, Denmark, Denmark, Djibouti, Ecuador, Egypt, Estonia, Ethiopia, Finland, France, France, France, Germany, Greece, Guyana, Hong Kong, Hungary, Iceland, India, Ireland, Italy, Japan, Kenya, Luxembourg, Malta, Mauritius, Montenegro, Montserrat, Morocco, Netherlands, Netherlands, Netherlands, New Zealand, Nicaragua, Norway, Papua New Guinea, Poland, Republic of Korea, Romania, Seychelles, Singapore, Slovenia, Spain, St. Lucia, Sudan, Sweden, Switzerland, Syrian Arab Republic, The former Yugoslav Republic of Macedonia, Turkey, Ukraine, Union of South Africa, United Arab Republic, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, Uruguay, Uruguay, Venezuela, Yugoslavia (Federal Republic of), Yugoslavia (Federal Republic of)","14 July 1921 , in accordance with article 7",1949-09-15,"Labour","Multilateral","38 (p.41)",1921-07-14,1949,9,15,1921,7,14,"Washington",1919-11-28,1919,11,28
"592","Convention (No. 9) for establishing facilities for finding employment for seamen, as modified by the Final Articles Revision Convention, 1946","Argentina, Australia, Australia, Belgium, Bosnia and Herzegovina, Bulgaria, Bulgaria, Chile, Colombia, Croatia, Croatia, Cuba, Denmark, Djibouti, Egypt, Estonia, Federal Republic of Cameroon, Finland, Finland, France, France, France, France, France, Germany, Greece, Ireland, Israel, Italy, Japan, Latvia, Lebanon, Luxembourg, Martinique, Mexico, Montenegro, Netherlands, Netherlands, Netherlands, Netherlands, New Zealand, Nicaragua, Nigeria, Nigeria, Norway, Norway, Panama, Peru, Philippines, Poland, Romania, Slovenia, Spain, Sweden, The former Yugoslav Republic of Macedonia, Uruguay, Yugoslavia (Federal Republic of), Yugoslavia (Socialist Federal Republic of)","23 November 1921 , in accordance with article 14",1949-09-15,"Sea, Professions, Labour","Multilateral","38 (p.129)",1921-11-23,1949,9,15,1921,11,23,"Genoa",1920-07-10,1920,7,10
"594","Convention (No. 11) concerning the rights of association and combination of agricultural workers, as modified by the Final Articles Revision Convention, 1946","Albania, Algeria, Antigua and Barbuda, Argentina, Australia, Australia, Australia, Australia, Austria, Azerbaijan, Bahamas, Bangladesh, Barbados, Belgium, Belgium, Belize, Bosnia and Herzegovina, Brazil, Bulgaria, Burundi, Byelorussian Soviet Socialist Republic, Cameroon, Central African Republic, Ceylon, Chad, Chile, China, Colombia, Comoros, Congo (Brazzaville), Congo (Leopoldville), Cook Islands, Costa Rica, Croatia, Cuba, Cyprus, Czech Republic, Czechoslovakia, Dahomey, Denmark, Denmark, Denmark, Djibouti, Dominica, Ecuador, Egypt, Estonia, Ethiopia, Federal Republic of Cameroon, Federal Republic of Cameroon, Federation of Malaya, Fiji, Finland, France, France, France, Gabon, German Democratic Republic, Germany, Ghana, Greece, Grenada, Guatemala, Guinea, Guyana, Iceland, India, Iraq, Ireland, Italy, Ivory Coast, Jamaica, Kenya, Kyrgyzstan, Latvia, Lesotho, Lithuania, Luxembourg, Madagascar, Malawi, Malaysia, Mali, Mali, Malta, Mauritania, Mauritius, Mexico, Montenegro, Morocco, Mozambique, Netherlands, Netherlands, Netherlands, Netherlands, Netherlands, New Zealand, New Zealand, Nicaragua, Niger, Nigeria, Norway, Panama, Papua New Guinea, Paraguay, Peru, Poland, Portugal, Republic of Moldova, Romania, Rwanda, Sarawak, Senegal, Seychelles, Singapore, Singapore, Slovakia, Slovenia, Solomon Islands, Spain, St. Lucia, St. Vincent and the Grenadines, Suriname, Swaziland, Sweden, Switzerland, Syrian Arab Republic, Tajikistan, Tanganyika, The former Yugoslav Republic of Macedonia, Togo, Tunisia, Turkey, Uganda, Ukrainian Soviet Socialist Republic, Union of Soviet Socialist Republics, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Republic of Tanganyika and Zanzibar, Upper Volta, Uruguay, Venezuela, Yugoslavia (Federal Republic of), Yugoslavia (Socialist Federal Republic of), Zambia","11 May 1923 , in accordance with article 3",1949-09-15,"Human rights, Associations, Labour, Agriculture","Multilateral","38 (p.153)",1923-05-11,1949,9,15,1923,5,11,"Geneva",1921-11-12,1921,11,12
"583","Convention (No. 80) for the partial revision of the conventions adopted by the General Conference of the International Labour Organisation at its first twenty-eight sessions for the purpose of making provision for the future discharge of certain chancery functions entrusted by the said conventions to the Secretary-General of the League of Nations and introducing therein certain further amendments consequential upon the dissolution of the League of Nations and the amendment of the Constitution of the International Labour Organisation (the Final Articles Revision Convention, 1946)","Algeria, Argentina, Australia, Australia, Austria, Bangladesh, Belgium, Bosnia and Herzegovina, Brazil, Bulgaria, Canada, Ceylon, Chile, China, China, Colombia, Cuba, Czech Republic, Czechoslovakia, Denmark, Dominican Republic, Egypt, Ethiopia, Finland, France, Greece, Guatemala, India, Iraq, Ireland, Italy, Japan, Lithuania, Luxembourg, Mexico, Montenegro, Morocco, Netherlands, New Zealand, Norway, Pakistan, Panama, Peru, Poland, Slovakia, Slovenia, Spain, Sweden, Switzerland, Syrian Arab Republic, Thailand, The former Yugoslav Republic of Macedonia, Turkey, Union of South Africa, United Arab Republic, United Kingdom of Great Britain and Northern Ireland, United States of America, Uruguay, Venezuela, Viet Nam, Viet Nam, Yugoslavia (Federal Republic of), Yugoslavia (Socialist Federal Republic of)","28 May 1947 , in accordance with article 5(2)",1949-09-15,"Treaties-Agreements (application), International Labour Organisation (ILO), Charters-Constitutions-Statutes, Labour","Multilateral","38 (p.3)",1947-05-28,1949,9,15,1947,5,28,"Montreal",1946-10-09,1946,10,9
