"Registration Number","Title","Participant(s)","EIF information","Registration Date","Subject terms","Agreement type","UNTS Volume Number","EIF Date","Registration Year","Registration Month","Registration Day","EIF Year","EIF Month","EIF Day","Place1","Date1","Date1_Year","Date1_Month","Date1_Day"
"695","Agreement between the Government of Australia and the Government of the United States of America for the use of funds made available in accordance with the Agreement between the Government of the United States of America and the Government of Australia on settlement for lend-lease, reciprocal aid, surplus war property, and claims, signed at Washington and New York on 7 June 1946","Australia*, United States of America","26 November 1949 by signature, in accordance with article 17",1949-12-22,"Lend-lease agreements, Claims-Debts, Military matters, Property matters, Finance","Bilateral","45 (p.133)",1949-11-26,1949,12,22,1949,11,26,"Canberra",1949-11-26,1949,11,26
"692","Agreement between the Government of the Republic of the Philippines and the Government of the United States of America on the construction and equipping of hospitals for veterans and the provision of medical care and treatment of veterans by the Government of the Philippines, and the furnishing of grants-in-aid thereof by the Government of the United States of America","Philippines*, United States of America","7 June 1949 by signature, in accordance with article 25",1949-12-13,"Social matters, Assistance, Health and health services, Finance","Bilateral","45 (p.63)",1949-06-07,1949,12,13,1949,6,7,"Manila",1949-06-07,1949,6,7
"691","Agreement between the Government of the United States of America and the Government of the Republic of the Philippines on military assistance to the Philippines","Philippines*, United States of America","21 March 1947 by signature, in accordance with article 2",1949-12-13,"Assistance, Military matters","Bilateral","45 (p.47)",1947-03-21,1949,12,13,1947,3,21,"Manila",1947-03-21,1947,3,21
"696","Agreement providing for the provisional application of the Draft International Customs Conventions on Touring, on Commercial Road Vehicles and on the International Transport of Goods by Road*","Austria, Austria, Austria, Austria, Belgium (on behalf of Belgium and Luxembourg in the name of the Belgo-Luxembourg Economic Union), Czechoslovakia, Denmark, Denmark, France, France, Italy, Italy, Italy, Liechtenstein, Liechtenstein, Malaysia, Netherlands, Netherlands, Netherlands, Norway, Norway, Norway, Poland, Poland, Sweden, Sweden, Sweden, Switzerland, Switzerland, Turkey, Turkey, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, United Kingdom of Great Britain and Northern Ireland, Yugoslavia (Socialist Federal Republic of), Yugoslavia (Socialist Federal Republic of), Yugoslavia (Socialist Federal Republic of)","1 January 1950 , in accordance with article III",1950-01-01,"Tourism, Customs, Motor vehicles, Roads, Transport","Multilateral","45 (p.149)",1950-01-01,1950,1,1,1950,1,1,"Geneva",1949-06-16,1949,6,16
"690","Consular Convention between the Republic of the Philippines and the United States of America","Philippines*, United States of America","18 November 1948 by the exchange of the instruments of ratification, in accordance with article XVI",1949-12-13,"Diplomatic and consular relations","Bilateral","45 (p.23)",1948-11-18,1949,12,13,1948,11,18,"Manila",1947-03-14,1947,3,14
"185","Financial Agreement between Canada and Czechoslovakia","Canada*, Czechoslovakia","1 March 1945 by signature",1949-12-19,"Taxation, Finance","Bilateral","45 (p.283)",1945-03-01,1949,12,19,1945,3,1,"Ottawa",1945-03-01,1945,3,1
"186","Financial Agreement between the Government of Canada and the Government of Norway","Canada*, Norway","25 June 1945 by signature",1949-12-19,"Taxation, Finance","Bilateral","45 (p.297)",1945-06-25,1949,12,19,1945,6,25,"Ottawa",1945-06-25,1945,6,25
"693","General Convention between Czechoslovakia and France on social security, Supplementary Agreement regarding the system of social security applicable to persons employed in mines and establishments treated as mines, Special Protocol and Protocol of Closure","Czechoslovakia*, France","1 July 1949 by the exchange of the instruments of ratification, in accordance with article 33",1949-12-15,"Social matters, Mines (military), Labour","Bilateral","45 (p.81)",1949-07-01,1949,12,15,1949,7,1,"Paris",1948-10-12,1948,10,12
"689","Payments Agreement between Military Governments for Germany (United States, United Kingdom and French) and the Royal Government of Denmark covering payments for trade and services between Denmak and the United States, United Kingdom and French occupied areas of Germany","Denmark*, United States/United Kingdom Military Governments for Germany","10 August 1949 by signature, in accordance with article XIV",1949-12-08,"Payments, Trade","Bilateral","45 (p.3)",1949-08-10,1949,12,8,1949,8,10,"FrankfurtamMain",1949-08-10,1949,8,10
"187","Protocol between Canada, the United Kingdom and the Union of jSoviet Socialist Republics to the Armistice Agreement between the Union of Soviet Socialist Republics and the United Kingdom of Great Britain and Northern Ireland, on the one hand, and Finland, on the other, dated 19 September 1944","Canada*, Union of Soviet Socialist Republics, United Kingdom of Great Britain and Northern Ireland","8 October 1944 by signature",1949-12-20,"Military matters, Cooperation","Multilateral","45 (p.311)",1944-10-08,1949,12,20,1944,10,8,"Moscow",1944-10-08,1944,10,8
"695","Agreement between the Government of Australia and the Government of the United States of America for the use of funds made available in accordance with the Agreement between the Government of the United States of America and the Government of Australia on settlement for lend-lease, reciprocal aid, surplus war property, and claims, signed at Washington and New York on 7 June 1946","Australia*, United States of America","26 November 1949 by signature, in accordance with article 17",1949-12-22,"Lend-lease agreements, Claims-Debts, Military matters, Property matters, Finance","Bilateral","45 (p.133)",1949-11-26,1949,12,22,1949,11,26,"Canberra",1949-11-26,1949,11,26
