"Registration Number","Title","Participant(s)","EIF information","Registration Date","Subject terms","Agreement type","UNTS Volume Number","EIF Date","Registration Year","Registration Month","Registration Day","EIF Year","EIF Month","EIF Day","Place1","Date1","Date1_Year","Date1_Month","Date1_Day","Place2","Date2","Date2_Year","Date2_Month","Date2_Day"
"54","Agreement between His Britannic Majesty and His Highness the Amir of Trans-Jordan respecting the part of the Haifa-Baghdad Road which passes through Trans-Jordan","Transjordan, United Kingdom of Great Britain and Northern Ireland*","19 July 1941 by signature",1947-10-31,"Geographical names, Roads, Cooperation, Transport","Bilateral","9 (p.381)",1941-07-19,1947,10,31,1941,7,19,"Amman",1941-07-19,1941,7,19,NA,NA,NA,NA,NA
"55","Agreement between His Britannic Majesty and His Highness the Amir of Trans-Jordan respecting the Trans-Jordan Oil Mining Law (No. 18 of 1940)","Transjordan, United Kingdom of Great Britain and Northern Ireland*","19 July 1941 by signature",1947-10-31,"Geographical names, Mining, Fuels, Commodities","Bilateral","9 (p.389)",1941-07-19,1947,10,31,1941,7,19,"Amman",1941-07-19,1941,7,19,NA,NA,NA,NA,NA
"137","Agreement between the Government of the United Kingdom and the Government of Denmark relating to certain rights in respect of industrial property which have been affected by the war","Denmark, United Kingdom of Great Britain and Northern Ireland*","19 August 1947 by signature, in accordance with article 8",1947-10-31,"Property matters, Industry, Claims-Debts","Bilateral","9 (p.277)",1947-08-19,1947,10,31,1947,8,19,"London",1947-08-19,1947,8,19,NA,NA,NA,NA,NA
"131","Agreement between the Government of the United Kingdom and the Government of the Czechoslovak Republic for the supply of certain aircraft and equipment to Czechoslovakia","Czechoslovakia, United Kingdom of Great Britain and Northern Ireland*","19 February 1947 by signature, in accordance with article 3",1947-10-31,"Assistance, Military matters, Aviation","Bilateral","9 (p.173)",1947-02-19,1947,10,31,1947,2,19,"Prague",1947-02-19,1947,2,19,NA,NA,NA,NA,NA
"130","Agreement between the Government of the United Kingdom and the Royal Danish Government concerning the supply of certain aircraft and equipment to Denmark","Denmark, United Kingdom of Great Britain and Northern Ireland*","16 August 1946 by signature, in accordance with article 3",1947-10-31,"Assistance, Military matters, Aviation","Bilateral","9 (p.163)",1946-08-16,1947,10,31,1946,8,16,"Copenhagen",1946-08-16,1946,8,16,NA,NA,NA,NA,NA
"51","Agreement between the Government of the United States of America and the Government of El Salvador relating to the detail of an officer of the United States Army to serve as Director of the Military School and of the Military Academy of El Salvador","El Salvador, United States of America*","21 May 1943 , in accordance with article III",1947-10-16,"Assistance, Military matters","Bilateral","9 (p.341)",1943-05-21,1947,10,16,1943,5,21,"SanSalvador",1943-05-21,1943,5,21,NA,NA,NA,NA,NA
"49","Agreement between the Government of the United States of America and the Government of the Republic of Bolivia relating to a military mission to the Republic of Bolivia","Bolivia, United States of America*","11 August 1942 by signature",1947-10-16,"Assistance, Military matters","Bilateral","9 (p.289)",1942-08-11,1947,10,16,1942,8,11,"Washington",1942-08-11,1942,8,11,NA,NA,NA,NA,NA
"48","Agreement between the Government of the United States of America and the Government of the Republic of Panama relating to the detail of an officer of the United States Army to serve as adviser to the Minister of Foreign Affairs of Panama","Panama, United States of America*","7 July 1942 by signature, in accordance with article 3",1947-10-16,"Labour, Military matters","Bilateral","9 (p.289)",1942-07-07,1947,10,16,1942,7,7,"Washington",1942-07-07,1942,7,7,NA,NA,NA,NA,NA
"128","Agreement between the Governments represented at the Bermuda Telecommunications Conference","Australia, Canada, India, New Zealand, Southern Rhodesia, Union of South Africa, United Kingdom of Great Britain and Northern Ireland*, United States of America","29 March 1946 , in accordance with article 6",1947-10-31,"Telecommunications, Conferences-Meetings","Multilateral","9 (p.101)",1946-03-29,1947,10,31,1946,3,29,"NewYork",1947-04-02,1947,4,2,NA,NA,NA,NA,NA
"135","Air Transport Agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the Republic of China","China, United Kingdom of Great Britain and Northern Ireland*","23 July 1947 by signature, in accordance with article 14",1947-10-31,"Transport, Aviation","Bilateral","9 (p.207)",1947-07-23,1947,10,31,1947,7,23,"Nanking",1947-07-23,1947,7,23,NA,NA,NA,NA,NA
"133","Exchange of Notes between the Government of the United Kingdom of Great Britain and Northern Ireland and the Greek Government for the maintenance of a Royal Air Force Communications Flight in Greece","Greece, United Kingdom of Great Britain and Northern Ireland*","5 June 1947 by the exchange of the said notes",1947-10-31,"Labour, Military matters, Aviation","Bilateral","9 (p.197)",1947-06-05,1947,10,31,1947,6,5,"Athens",1947-06-05,1947,6,5,NA,NA,NA,NA,NA
"134","Exchange of Notes between the Government of the United Kingdom of Great Britain and Northern Ireland and the French Government regarding the mutual application of the Chicago Air Transit Agreement of 7 December 1944","France, United Kingdom of Great Britain and Northern Ireland*","18 June 1947 by the exchange of the said notes",1947-10-31,"Transport, Aviation","Bilateral","9 (p.203)",1947-06-18,1947,10,31,1947,6,18,"London",1947-06-18,1947,6,18,NA,NA,NA,NA,NA
"127","Declaration recognizing as compulsory the jurisdiction of the Court, in conformity with Article 36, paragraph 2, of the Statute of the International Court of Justice","Mexico*","1 March 1947",1947-10-28,"International Court of Justice (ICJ), ICJ jurisdiction","Multilateral","9 (p.97)",1947-03-01,1947,10,28,1947,3,1,"MexicoCity",1947-10-23,1947,10,23,NA,NA,NA,NA,NA
"255","Convention relating to the Non-Fortification and Neutralisation of the Aaland Islands","Denmark, Estonia, Finland, Germany, Italy, Latvia, Latvia, Poland, Sweden, United Kingdom of Great Britain and Northern Ireland (on behalf of Dominica)","6 April 1922",1922-04-06,"Neutrality","Multilateral","9 (p.211)",1922-04-06,1922,4,6,1922,4,6,"Geneva",1921-10-20,1921,10,20,NA,NA,NA,NA,NA
"267","Convention concerning the delimitation of the frontier between Austria and Czechoslovakia and various questions connected therewith, signed at Prague, March 10, 1921.","Austria*, Czechoslovakia","10 March 1921",1921-06-06,"Frontiers","Bilateral","9 (p.333)",1921-03-10,1921,6,6,1921,3,10,"Prague",1921-03-10,1921,3,10,NA,NA,NA,NA,NA
"256","Convention between Belgium and the Grand Duchy of Luxembourg for the establishment of an Economic Union between the two countries","Belgium*, Luxembourg","6 March 1922 by the exchange of the instruments of ratification, in accordance with article VIII",1922-04-10,"Mutual relations, Economic matters, Cooperation","Bilateral","9 (p.223)",1922-03-06,1922,4,10,1922,3,6,"Brussels",1921-07-25,1921,7,25,NA,NA,NA,NA,NA
"135","Air Transport Agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the Republic of China","China, United Kingdom of Great Britain and Northern Ireland*","23 July 1947 by signature, in accordance with article 14",1947-10-31,"Transport, Aviation","Bilateral","9 (p.207)",1947-07-23,1947,10,31,1947,7,23,"Nanking",1947-07-23,1947,7,23,NA,NA,NA,NA,NA
"128","Agreement between the Governments represented at the Bermuda Telecommunications Conference","Australia, Canada, India, New Zealand, Southern Rhodesia, Union of South Africa, United Kingdom of Great Britain and Northern Ireland*, United States of America","29 March 1946 , in accordance with article 6",1947-10-31,"Telecommunications, Conferences-Meetings","Multilateral","9 (p.101)",1946-03-29,1947,10,31,1946,3,29,"NewYork",1947-04-02,1947,4,2,NA,NA,NA,NA,NA
"48","Agreement between the Government of the United States of America and the Government of the Republic of Panama relating to the detail of an officer of the United States Army to serve as adviser to the Minister of Foreign Affairs of Panama","Panama, United States of America*","7 July 1942 by signature, in accordance with article 3",1947-10-16,"Labour, Military matters","Bilateral","9 (p.289)",1942-07-07,1947,10,16,1942,7,7,"Washington",1942-07-07,1942,7,7,NA,NA,NA,NA,NA
"49","Agreement between the Government of the United States of America and the Government of the Republic of Bolivia relating to a military mission to the Republic of Bolivia","Bolivia, United States of America*","11 August 1942 by signature",1947-10-16,"Assistance, Military matters","Bilateral","9 (p.289)",1942-08-11,1947,10,16,1942,8,11,"Washington",1942-08-11,1942,8,11,NA,NA,NA,NA,NA
"51","Agreement between the Government of the United States of America and the Government of El Salvador relating to the detail of an officer of the United States Army to serve as Director of the Military School and of the Military Academy of El Salvador","El Salvador, United States of America*","21 May 1943 , in accordance with article III",1947-10-16,"Assistance, Military matters","Bilateral","9 (p.341)",1943-05-21,1947,10,16,1943,5,21,"SanSalvador",1943-05-21,1943,5,21,NA,NA,NA,NA,NA
"130","Agreement between the Government of the United Kingdom and the Royal Danish Government concerning the supply of certain aircraft and equipment to Denmark","Denmark, United Kingdom of Great Britain and Northern Ireland*","16 August 1946 by signature, in accordance with article 3",1947-10-31,"Assistance, Military matters, Aviation","Bilateral","9 (p.163)",1946-08-16,1947,10,31,1946,8,16,"Copenhagen",1946-08-16,1946,8,16,NA,NA,NA,NA,NA
"131","Agreement between the Government of the United Kingdom and the Government of the Czechoslovak Republic for the supply of certain aircraft and equipment to Czechoslovakia","Czechoslovakia, United Kingdom of Great Britain and Northern Ireland*","19 February 1947 by signature, in accordance with article 3",1947-10-31,"Assistance, Military matters, Aviation","Bilateral","9 (p.173)",1947-02-19,1947,10,31,1947,2,19,"Prague",1947-02-19,1947,2,19,NA,NA,NA,NA,NA
"137","Agreement between the Government of the United Kingdom and the Government of Denmark relating to certain rights in respect of industrial property which have been affected by the war","Denmark, United Kingdom of Great Britain and Northern Ireland*","19 August 1947 by signature, in accordance with article 8",1947-10-31,"Property matters, Industry, Claims-Debts","Bilateral","9 (p.277)",1947-08-19,1947,10,31,1947,8,19,"London",1947-08-19,1947,8,19,NA,NA,NA,NA,NA
"55","Agreement between His Britannic Majesty and His Highness the Amir of Trans-Jordan respecting the Trans-Jordan Oil Mining Law (No. 18 of 1940)","Transjordan, United Kingdom of Great Britain and Northern Ireland*","19 July 1941 by signature",1947-10-31,"Geographical names, Mining, Fuels, Commodities","Bilateral","9 (p.389)",1941-07-19,1947,10,31,1941,7,19,"Amman",1941-07-19,1941,7,19,NA,NA,NA,NA,NA
"54","Agreement between His Britannic Majesty and His Highness the Amir of Trans-Jordan respecting the part of the Haifa-Baghdad Road which passes through Trans-Jordan","Transjordan, United Kingdom of Great Britain and Northern Ireland*","19 July 1941 by signature",1947-10-31,"Geographical names, Roads, Cooperation, Transport","Bilateral","9 (p.381)",1941-07-19,1947,10,31,1941,7,19,"Amman",1941-07-19,1941,7,19,NA,NA,NA,NA,NA
